Product ID,Category,Sub-Category,Supplier Name,Supplier Region,Lead Time (Days),Cost per Unit,Quality Score,Delivery Accuracy (%),Reliability Rating,Reorder Level,Max Order Qty,Min Order Qty,Avg Monthly Orders,Annual Supply Value,Contact Email
TEC-PH-10000000,Technology,Phones,Alpha Furnishings,North,5,119.37,3.9,93.53,9,21,704,28,26,37243.44,alpha@supplier.com
FUR-CH-10000001,Furniture,Chairs,Beta Office Supplies,West,10,304.99,3.2,94.32,9,63,325,29,311,1138222.68,beta@supplier.com
OFF-PA-10000002,Office Supplies,Paper,Beta Office Supplies,South,7,146.16,1.9,95.27,2,21,489,7,193,338506.56,beta@supplier.com
OFF-AR-10000003,Office Supplies,Art,Alpha Furnishings,South,10,71.16,4.7,81.58,5,90,733,24,305,260445.6,alpha@supplier.com
FUR-BO-10000004,Furniture,Bookcases,Alpha Furnishings,East,5,388.8,4.9,97.11,2,58,384,30,335,1562976.0,alpha@supplier.com
OFF-BI-10000005,Office Supplies,Binders,Gamma Electronics,North,5,338.39,3.8,93.67,2,87,750,11,283,1149172.44,gamma@supplier.com
TEC-PH-10000006,Technology,Phones,Beta Office Supplies,South,8,142.27,4.7,93.76,4,97,432,50,407,694846.68,beta@supplier.com
FUR-CH-10000007,Furniture,Chairs,Alpha Furnishings,North,8,141.19,1.8,98.86,6,37,771,32,212,359187.36,alpha@supplier.com
TEC-AC-10000008,Technology,Accessories,Beta Office Supplies,North,4,130.85,3.2,85.25,10,64,697,26,195,306189.0,beta@supplier.com
FUR-CH-10000009,Furniture,Chairs,Omega Imports,South,3,380.33,4.4,83.06,3,97,532,39,42,191686.32,omega@supplier.com
OFF-LA-10000010,Office Supplies,Labels,Omega Imports,South,10,133.19,3.2,98.85,2,97,649,49,146,233348.88,omega@supplier.com
TEC-AC-10000011,Technology,Accessories,Alpha Furnishings,North,8,87.5,1.0,94.44,5,74,880,12,269,282450.0,alpha@supplier.com
FUR-BO-10000012,Furniture,Bookcases,Gamma Electronics,Central,5,84.89,4.1,90.79,9,10,713,21,260,264856.8,gamma@supplier.com
FUR-CH-10000013,Furniture,Chairs,Gamma Electronics,North,5,38.38,4.5,98.94,2,72,935,5,399,183763.44,gamma@supplier.com
TEC-PH-10000014,Technology,Phones,Beta Office Supplies,South,10,90.91,3.1,92.13,4,79,873,47,363,396003.96,beta@supplier.com
FUR-BO-10000015,Furniture,Bookcases,Gamma Electronics,South,7,224.67,3.1,82.42,4,18,446,2,311,838468.44,gamma@supplier.com
TEC-PH-10000016,Technology,Phones,Omega Imports,West,2,44.79,3.5,84.58,1,52,172,33,131,70409.88,omega@supplier.com
OFF-LA-10000017,Office Supplies,Labels,Beta Office Supplies,Central,4,364.44,4.5,91.52,4,70,926,27,107,467940.96,beta@supplier.com
FUR-CH-10000018,Furniture,Chairs,Delta Stationery,North,8,211.44,4.5,81.08,2,17,512,47,183,464322.24,delta@supplier.com
FUR-CH-10000019,Furniture,Chairs,Beta Office Supplies,West,10,229.82,2.7,85.57,4,19,553,36,60,165470.4,beta@supplier.com
FUR-BO-10000020,Furniture,Bookcases,Omega Imports,East,3,463.92,4.4,83.33,8,71,318,26,472,2627642.88,omega@supplier.com
FUR-CH-10000021,Furniture,Chairs,Delta Stationery,East,8,139.95,4.1,89.1,7,99,848,36,348,584431.2,delta@supplier.com
TEC-AC-10000022,Technology,Accessories,Beta Office Supplies,West,6,116.67,1.2,94.71,1,50,158,4,309,432612.36,beta@supplier.com
OFF-BI-10000023,Office Supplies,Binders,Alpha Furnishings,Central,3,427.16,1.3,81.36,4,61,222,37,136,697125.12,alpha@supplier.com
TEC-MA-10000024,Technology,Machines,Alpha Furnishings,Central,3,215.42,3.3,90.46,5,36,785,46,170,439456.8,alpha@supplier.com
FUR-TA-10000025,Furniture,Tables,Delta Stationery,West,6,234.04,4.7,98.71,1,68,736,37,61,171317.28,delta@supplier.com
FUR-BO-10000026,Furniture,Bookcases,Beta Office Supplies,Central,6,74.9,2.4,81.38,4,57,391,11,234,210319.2,beta@supplier.com
TEC-MA-10000027,Technology,Machines,Gamma Electronics,Central,10,13.83,4.3,85.99,2,27,370,8,465,77171.4,gamma@supplier.com
FUR-BO-10000028,Furniture,Bookcases,Omega Imports,West,6,148.06,1.8,86.86,5,74,600,17,473,840388.56,omega@supplier.com
FUR-CH-10000029,Furniture,Chairs,Delta Stationery,North,2,11.74,4.1,92.74,5,30,859,29,292,41136.96,delta@supplier.com
TEC-AC-10000030,Technology,Accessories,Omega Imports,East,3,46.87,4.5,98.08,9,14,954,24,308,173231.52,omega@supplier.com
TEC-PH-10000031,Technology,Phones,Delta Stationery,West,2,161.05,4.6,95.92,1,55,315,44,137,264766.2,delta@supplier.com
TEC-PH-10000032,Technology,Phones,Gamma Electronics,Central,8,487.18,4.0,98.52,4,30,919,12,461,2695079.76,gamma@supplier.com
OFF-PA-10000033,Office Supplies,Paper,Beta Office Supplies,North,8,403.1,4.5,96.21,5,30,906,45,65,314418.0,beta@supplier.com
OFF-PA-10000034,Office Supplies,Paper,Delta Stationery,West,5,410.13,2.8,86.1,4,38,124,43,108,531528.48,delta@supplier.com
OFF-AR-10000035,Office Supplies,Art,Gamma Electronics,East,6,182.06,3.0,93.59,9,52,128,8,459,1002786.48,gamma@supplier.com
OFF-BI-10000036,Office Supplies,Binders,Omega Imports,North,2,63.12,2.7,94.57,6,65,720,33,69,52263.36,omega@supplier.com
OFF-BI-10000037,Office Supplies,Binders,Gamma Electronics,East,8,10.83,4.7,90.77,4,56,541,5,495,64330.2,gamma@supplier.com
TEC-AC-10000038,Technology,Accessories,Omega Imports,North,3,362.68,2.2,86.19,7,51,512,45,161,700697.76,omega@supplier.com
TEC-PH-10000039,Technology,Phones,Beta Office Supplies,South,8,341.89,4.6,92.31,5,61,661,1,165,676942.2,beta@supplier.com
OFF-BI-10000040,Office Supplies,Binders,Delta Stationery,Central,7,237.84,2.8,84.27,8,31,774,6,155,442382.4,delta@supplier.com
TEC-MA-10000041,Technology,Machines,Omega Imports,North,3,411.03,4.0,93.46,4,35,250,2,33,162767.88,omega@supplier.com
FUR-TA-10000042,Furniture,Tables,Omega Imports,East,9,213.08,3.5,83.89,7,73,509,16,85,217341.6,omega@supplier.com
TEC-MA-10000043,Technology,Machines,Alpha Furnishings,East,8,117.23,4.2,93.92,8,16,670,16,479,673838.04,alpha@supplier.com
FUR-TA-10000044,Furniture,Tables,Beta Office Supplies,South,10,494.07,3.4,99.0,8,88,934,47,466,2762839.44,beta@supplier.com
TEC-AC-10000045,Technology,Accessories,Omega Imports,South,4,374.39,2.9,85.18,4,91,383,50,408,1833013.44,omega@supplier.com
TEC-AC-10000046,Technology,Accessories,Beta Office Supplies,North,9,47.97,2.1,85.43,6,79,182,9,87,50080.68,beta@supplier.com
FUR-TA-10000047,Furniture,Tables,Beta Office Supplies,West,3,213.29,2.3,89.32,1,36,952,27,209,534931.32,beta@supplier.com
TEC-MA-10000048,Technology,Machines,Alpha Furnishings,Central,8,243.72,4.8,85.97,7,63,651,48,386,1128911.04,alpha@supplier.com
TEC-MA-10000049,Technology,Machines,Beta Office Supplies,South,5,143.74,2.9,87.78,7,31,960,30,480,827942.4,beta@supplier.com
FUR-BO-10000050,Furniture,Bookcases,Omega Imports,East,8,300.03,3.7,81.68,7,27,987,30,103,370837.08,omega@supplier.com
FUR-TA-10000051,Furniture,Tables,Delta Stationery,North,5,232.8,2.4,97.59,5,63,358,6,250,698400.0,delta@supplier.com
FUR-BO-10000052,Furniture,Bookcases,Omega Imports,East,7,119.87,1.3,99.15,1,13,353,13,439,631475.16,omega@supplier.com
FUR-BO-10000053,Furniture,Bookcases,Beta Office Supplies,West,4,242.04,1.5,98.96,8,99,362,50,198,575087.04,beta@supplier.com
FUR-BO-10000054,Furniture,Bookcases,Omega Imports,East,4,482.71,1.4,80.51,5,83,793,25,213,1233806.76,omega@supplier.com
TEC-PH-10000055,Technology,Phones,Alpha Furnishings,Central,5,59.93,4.1,97.01,10,25,915,37,410,294855.6,alpha@supplier.com
FUR-TA-10000056,Furniture,Tables,Omega Imports,South,7,43.79,3.6,80.25,7,72,208,28,195,102468.6,omega@supplier.com
TEC-AC-10000057,Technology,Accessories,Beta Office Supplies,South,4,369.56,4.9,85.4,9,71,576,28,432,1915799.04,beta@supplier.com
TEC-MA-10000058,Technology,Machines,Gamma Electronics,North,5,417.06,1.3,97.63,4,69,683,40,352,1761661.44,gamma@supplier.com
OFF-AR-10000059,Office Supplies,Art,Alpha Furnishings,South,7,99.1,1.8,95.96,6,45,710,45,460,547032.0,alpha@supplier.com
OFF-PA-10000060,Office Supplies,Paper,Omega Imports,West,3,128.26,2.6,91.1,4,98,587,42,374,575630.88,omega@supplier.com
OFF-LA-10000061,Office Supplies,Labels,Alpha Furnishings,East,6,118.58,3.8,86.12,10,57,584,36,281,399851.76,alpha@supplier.com
OFF-LA-10000062,Office Supplies,Labels,Omega Imports,North,7,354.4,2.1,85.03,2,34,423,8,390,1658592.0,omega@supplier.com
TEC-MA-10000063,Technology,Machines,Beta Office Supplies,West,5,371.92,2.1,91.79,9,86,389,7,436,1945885.44,beta@supplier.com
FUR-TA-10000064,Furniture,Tables,Beta Office Supplies,North,4,158.11,3.8,82.53,1,16,666,19,367,696316.44,beta@supplier.com
